event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE41814,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Maghazi,31.4214,34.3865,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck targets in Al Maghazi refugee camp (Deir El Balah, Gaza Strip), killing 10 Palestinians and injuring several of others. Also, 3 Palestinians were killed in a separate airstrike on the same area, raising total fatalities to 13.",13,,1701732586
PSE41815,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Newpress; Palestine News and Information Agency; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck targets and houses in An Nusayrat refugee camp (Deir El Balah, Gaza Strip), leaving an unspecified number of fatalities and injuries, likely civilians. Also, the artillery struck targets in the area. Fatalities coded as 10.",10,,1701732586
PSE41816,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Palestine News and Information Agency,National,"On 1 December 2023, Israeli warplanes struck targets and houses in Al Burayj refugee camp (Deir El Balah, Gaza Strip), leaving an unspecified number of fatalities and injuries, likely civilians. Also, the artillery struck targets in the area. Fatalities coded as 10.",10,,1701732586
PSE41817,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),Health Workers (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Southern Remal,31.5168,34.4355,2,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli artillery struck houses west of Gaza City (coded to Gaza - Southern Remal) (Gaza City, Gaza Strip). Also, 2 Palestinian paramedic were killed on the outskirts of al-Shifa Hospital after targeting ambulances.",2,,1701732586
PSE41818,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Abasan al Kabirah,31.3191,34.3401,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck targets and houses in Abasan al Kabirah (Khan Yunis, Gaza Strip). Several persons were injured.",0,,1701732586
PSE41819,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Hamas Movement,,3,Military Forces of Israel (2022-),,8,38,,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Az Zaytun,31.4964,34.4522,2,Newpress; Twitter,New media-National,"On 1 December 2023, Hamas militants fired mortar shells toward Israeli troops stationed south of Gaza, in the area of Gaza - Az Zaytun (Gaza City, Gaza Strip). Casualties unknown.",0,,1701732586
PSE41820,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Qararah,31.3739,34.3409,2,Newpress; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes and artillery struck targets east of Al Qararah (Khan Yunis, Gaza Strip). Casualties unknown.",0,,1701732586
PSE41821,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Journalists (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Ad Darraj,31.5172,34.4642,1,Newpress; Palestine News and Information Agency; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck al-Shawwa Square in Gaza - Ad Darraj (Gaza City, Gaza Strip), leaving an unspecified number of fatalities and injuries and killing a Palestinian journalist. Fatalities coded as 10.",10,,1701732586
PSE41822,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Yibna,31.2842,34.2482,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck houses in Yibna refugee camp (Rafah, Gaza Strip). 9 Palestinians were killed.",9,,1701732586
PSE41823,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Az Zaytun,31.4964,34.4522,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck houses and targets near al-Mamadani Hospital and in Gaza - Az Zaytun (Gaza City, Gaza Strip), killing 15 persons, including children and women.",15,,1701732586
PSE41826,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Bani Suheila,31.3424,34.325,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck a house in Bani Suheila (Khan Yunis, Gaza Strip), killing a Palestinian and injuring several of others.",1,,1701732586
PSE41829,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Hamad,31.3749,34.3193,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck apartments in Hamad city (Khan Yunis, Gaza Strip), killing 2 Palestinians and injuring several of others.",2,,1701732586
PSE41830,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Rafah,31.287,34.2595,2,Newpress; Palestine News and Information Agency; PLO Negotiations Affairs Department; Quds News Network; Twitter,Other-New media,"On 1 December 2023, Israeli warplanes struck a house at George street east of Rafah (Rafah, Gaza Strip), killing 10 persons including 5 children. Meanwhile, Israeli artillery struck targets in the area.",10,,1701732586
PSE41831,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Mukhayyam ash Shati,31.5349,34.4466,2,Newpress; Palestine News and Information Agency; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck a house northwest of Gaza City (coded to Gaza - Mukhayyam ash Shati) (Gaza City, Gaza Strip). Meanwhile tanks and artillery struck targets in the area. Casualties unknown.",0,,1701732586
PSE41833,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya,31.5541,34.5016,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck a house on the outskirts of Kamal Odwan Hospital in Beit Lahiya (North Gaza, Gaza Strip), leaving an unspecified number of fatalities and injuries. Meanwhile, the tanks struck several targets in the area, leaving a number of injuries. Fatalities coded as 10.",10,,1701732586
PSE41835,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Muslim Group (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Khirbet al Adas,31.2855,34.2714,1,Palestine News and Information Agency,National,"On 1 December 2023, Israeli warplanes struck al-Amin Mohammad mosque in Khirbet al Adas (Rafah, Gaza Strip). Casualties unknown.",0,,1701732586
PSE41836,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine); UNRWA: United Nations Relief and Works Agency,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Mukhayyam Jabalya,31.536,34.4907,1,Liveuamap; Newpress; Palestine News and Information Agency; Twitter,Local partner-New media,"On 1 December 2023, Israeli warplanes struck targets and houses in Mukhayyam Jabalya refugee camp (North Gaza, Gaza Strip), killing 5 persons and injuring dozens. Also a number of Palestinians were injured after targeting an UNRWA school hosting refugees.",5,,1701732586
PSE41837,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis,31.3502,34.3081,2,PLO Negotiations Affairs Department,Other,"On 1 December 2023, Israeli artillery, tanks, and warplanes shelled and struck targets east of Khan Yunis (Khan Yunis, Gaza Strip). Casualties unknown.",0,,1701732586
PSE41838,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Nezarim,31.4833,34.45,2,Palestine Information Center; Palestine News and Information Agency,Other-National,"On 1 December 2023, Israeli warplanes struck a group of displaced people who were raising white flags and fleeing toward the Salah al-Din street, presumably the Gaza - Nezarim area (Gaza City, Gaza Strip), killing 5 of them.",5,,1701732586
PSE41842,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Al Amal,31.3544,34.3007,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck targets and a house in Khan Yunis - Al Amal (Khan Yunis, Gaza Strip). Several persons were injured.",0,,1701732586
PSE41843,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Muslim Group (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - City Centre,31.3419,34.3015,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck and destroyed a mosque in Khan Yunis - City Centre (Khan Yunis, Gaza Strip). 9 persons were injured.",0,,1701732586
PSE41846,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Maen,31.336,34.3172,2,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli artillery and warplanes struck targets east of Khan Yunis, (coded to Khan Yunis - Maen) (Khan Yunis, Gaza Strip). Casualties unknown.",0,,1701732586
PSE41847,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - West (Municipal Stadium),31.3484,34.2961,2,Newpress; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck houses in Khan Yunis refugee camp, west of Khan Yunis in the area of Khan Yunis - West (Municipal Stadium) (Gaza Strip). Casualties unknown.",0,,1701732586
PSE41848,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,,,0,80,,275,Middle East,Palestine,Gaza Strip,Gaza City,,Coast of Gaza City,31.5304,34.4215,1,Palestine News and Information Agency; PLO Negotiations Affairs Department,Other-National,"On 1 December 2023, Israeli artillery and tanks shelled the Coast of Gaza City (Gaza City, Gaza Strip). Casualties unknown.",0,,1701732586
PSE41849,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sheikh Radwan,31.5349,34.4667,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck targets near a school hosting displaced people in Gaza - Sheikh Radwan area (Gaza City, Gaza Strip). Meanwhile, the tanks struck targets and houses in the area, leaving an unspecified number of fatalities, coded as 10.",10,,1701732586
PSE41851,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Shujaiyya,31.4988,34.4699,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck houses and targets in Gaza - Shujaiyya (Gaza City, Gaza Strip), killing 15 persons, including children and women.",15,,1701732586
PSE41852,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,,,0,80,,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza,31.5045,34.4743,2,PLO Negotiations Affairs Department,Other,"On 1 December 2023, Israeli artillery and tanks shelled targets east of Gaza City (Gaza City, Gaza Strip). Casualties unknown.",0,,1701732586
PSE41853,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Tal el Hawa,31.5041,34.435,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck houses in Gaza - Tal el Hawa (Gaza City, Gaza Strip), leaving an unspecified number of fatalities and injuries. Fatalities coded as 10.",10,,1701732586
PSE41854,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Jabalya,31.5272,34.4835,1,Joe Truzman; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck a house in Jabalya town (North Gaza, Gaza Strip). Also, warplanes struck a passing car in Al Saftawi area of Jabalya, leaving an unspecified number of fatalities, coded as 10.",10,,1701732586
PSE41855,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Deir al Balah,31.4178,34.3503,1,Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck a house and an apartment in al-Qastal towers in Deir al Balah (Deir El Balah, Gaza Strip). 6 persons were killed.",6,,1701732586
PSE41856,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,275,Middle East,Palestine,Gaza Strip,Rafah,,Rafah,31.287,34.2595,2,Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes carried out airstrikes in al-Muhararat area northwest of Rafah (Rafah, Gaza Strip). Casualties unknown.",0,,1701732586
PSE41857,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Qizan an Najjar,31.323,34.2761,1,Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes carried out airstrikes in Qizan an Najjar (Khan Yunis, Gaza Strip). Casualties unknown.",0,,1701732586
PSE41858,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,2,Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck 2 houses east of Al Burayj (Deir El Balah, Gaza Strip). Casualties unknown.",0,,1701732586
